N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
75.0,CJ제일제당,312500.0,2500.0,+0.81%,5000.0,300795.0,300132.0,16647.0
76.0,HD현대,59300.0,500.0,-0.84%,1000.0,608497.0,655709.0,33870.0
77.0,현대건설,40300.0,350.0,-0.86%,5000.0,212391.0,209117.0,5749.0
78.0,유한양행,57400.0,100.0,-0.17%,1000.0,17758.0,24727.0,360.0
79.0,한국타이어앤테크놀로지,34600.0,250.0,-0.72%,500.0,83942.0,125814.0,7058.0
80.0,미래에셋증권,6800.0,50.0,-0.73%,5000.0,191608.0,1062133.0,8356.0
81.0,강원랜드,19040.0,180.0,-0.94%,500.0,12707.0,41678.0,2176.0
82.0,현대차2우B,111200.0,400.0,-0.36%,5000.0,,,
83.0,한미약품,317000.0,2000.0,-0.63%,2500.0,13315.0,19246.0,1581.0
84.0,금호석유,135800.0,5700.0,-4.03%,5000.0,79756.0,77193.0,11477.0
85.0,현대로템,34700.0,750.0,+2.21%,5000.0,31633.0,48239.0,1475.0
86.0,SKC,97700.0,1900.0,-1.91%,5000.0,31389.0,63931.0,2203.0
87.0,GS,39400.0,650.0,-1.62%,5000.0,287770.0,339222.0,50051.0
88.0,코웨이,49150.0,750.0,-1.50%,500.0,38561.0,43651.0,6774.0
89.0,금양,62300.0,3100.0,-4.74%,500.0,2131.0,2828.0,132.0
90.0,KODEX KOFR금리액티브(합성),102860.0,10.0,+0.01%,0.0,,,
91.0,삼성카드,29800.0,150.0,-0.50%,5000.0,37946.0,296232.0,8489.0
92.0,호텔신라,85800.0,1500.0,-1.72%,5000.0,49220.0,29385.0,783.0
93.0,현대해상,37000.0,200.0,-0.54%,500.0,203844.0,522276.0,8080.0
94.0,현대오토에버,119800.0,4700.0,-3.78%,500.0,27545.0,26194.0,1424.0
95.0,BGF리테일,189000.0,3000.0,-1.56%,1000.0,76158.0,29462.0,2524.0
96.0,NH투자증권,9250.0,30.0,-0.32%,5000.0,115357.0,534283.0,5214.0
97.0,씨에스윈드,72700.0,1600.0,-2.15%,500.0,13749.0,17795.0,421.0
98.0,쌍용C&E,6010.0,130.0,+2.21%,100.0,19650.0,38743.0,2209.0
99.0,삼성증권,33900.0,350.0,-1.02%,5000.0,134869.0,538483.0,5781.0
100.0,한국금융지주,54300.0,700.0,-1.27%,5000.0,250281.0,863086.0,5458.0
101.0,LS,91700.0,800.0,-0.86%,5000.0,174913.0,168140.0,6709.0
102.0,롯데지주,28050.0,200.0,-0.71%,200.0,141119.0,221754.0,4898.0
103.0,LG화학우,378000.0,12000.0,-3.08%,5000.0,,,
104.0,OCI,119800.0,0.0,0.00%,5000.0,46713.0,67455.0,9767.0
105.0,DB하이텍,64100.0,3900.0,+6.48%,5000.0,16753.0,21227.0,7687.0
106.0,현대미포조선,71200.0,1700.0,-2.33%,5000.0,37169.0,47482.0,-1091.0
107.0,한미사이언스,40600.0,2850.0,-6.56%,500.0,10461.0,11097.0,676.0
108.0,GS리테일,26800.0,150.0,-0.56%,1000.0,112264.0,98324.0,2451.0
109.0,TIGER 차이나전기차SOLACTIVE,10920.0,150.0,-1.36%,0.0,,,
110.0,롯데에너지머티리얼즈,60000.0,1000.0,-1.64%,500.0,7294.0,24303.0,848.0
111.0,한진칼,41350.0,150.0,+0.36%,2500.0,2003.0,39151.0,145.0
112.0,팬오션,5120.0,180.0,-3.40%,1000.0,64203.0,75489.0,7896.0
113.0,아모레G,33150.0,3050.0,-8.43%,500.0,44950.0,76510.0,2719.0
114.0,대우조선해양,25450.0,800.0,-3.05%,5000.0,48602.0,122357.0,-16136.0
115.0,이마트,97400.0,1000.0,-1.02%,5000.0,293324.0,332017.0,1357.0
116.0,한화시스템,14330.0,70.0,-0.49%,5000.0,21880.0,39456.0,240.0
117.0,KODEX 종합채권(AA-이상)액티브,105670.0,195.0,+0.18%,0.0,,,
118.0,CJ,90200.0,1200.0,-1.31%,5000.0,409249.0,482404.0,21542.0
119.0,현대차우,108200.0,300.0,-0.28%,5000.0,,,
120.0,한전기술,66800.0,1000.0,-1.47%,200.0,5053.0,8165.0,139.0
121.0,한솔케미칼,221500.0,3000.0,+1.37%,5000.0,8855.0,12533.0,1860.0
122.0,한국가스공사,26950.0,800.0,-2.88%,5000.0,517243.0,624250.0,24634.0
123.0,농심,407000.0,2000.0,+0.49%,5000.0,31291.0,30347.0,1122.0
124.0,KG모빌리티,12660.0,1110.0,-8.06%,5000.0,34233.0,20019.0,-1120.0
125.0,키움증권,90100.0,1000.0,-1.10%,5000.0,89424.0,480373.0,6564.0
126.0,TIGER 미국나스닥100,78335.0,895.0,-1.13%,0.0,,,
127.0,롯데쇼핑,79800.0,900.0,-1.12%,5000.0,154760.0,317036.0,3862.0
128.0,동원산업,45000.0,1300.0,-2.81%,1000.0,90263.0,70612.0,4944.0
129.0,한미반도체,23050.0,1700.0,+7.96%,100.0,3276.0,4554.0,1119.0
130.0,에스원,58500.0,100.0,-0.17%,500.0,24680.0,20757.0,2041.0
131.0,KODEX 200선물인버스2X,2745.0,50.0,+1.86%,0.0,,,
132.0,제일기획,18970.0,20.0,-0.11%,200.0,42534.0,27514.0,3114.0
133.0,에스디바이오센서,20800.0,300.0,-1.42%,500.0,29320.0,32619.0,11466.0
134.0,휠라홀딩스,35750.0,950.0,-2.59%,1000.0,42218.0,48218.0,4351.0
135.0,BNK금융지주,6640.0,70.0,-1.04%,5000.0,75756.0,1369664.0,11589.0
136.0,TIGER 200,32730.0,300.0,-0.91%,0.0,,,
137.0,한화생명,2455.0,65.0,-2.58%,5000.0,337014.0,1612355.0,7147.0
138.0,HL만도,44600.0,2150.0,-4.60%,1000.0,75162.0,58458.0,2481.0
139.0,신세계,209500.0,3500.0,-1.64%,5000.0,78128.0,143484.0,6454.0
140.0,코스모화학,58800.0,2800.0,-4.55%,1000.0,7182.0,8079.0,414.0
141.0,KODEX 레버리지,15725.0,275.0,-1.72%,0.0,,,
142.0,한화,27350.0,450.0,-1.62%,5000.0,622784.0,2111753.0,25161.0
143.0,HD현대인프라코어,10250.0,40.0,+0.39%,1000.0,47561.0,47367.0,3325.0
144.0,KODEX 200TR,11140.0,90.0,-0.80%,0.0,,,
145.0,동서,20100.0,230.0,+1.16%,500.0,5565.0,16279.0,392.0
146.0,KCC,222000.0,3000.0,-1.33%,5000.0,67748.0,131185.0,4677.0
147.0,영원무역,44350.0,150.0,+0.34%,500.0,39110.0,45136.0,8230.0
148.0,두산퓨얼셀,29500.0,550.0,-1.83%,100.0,3121.0,10269.0,72.0
149.0,LS ELECTRIC,63900.0,1600.0,-2.44%,5000.0,33771.0,33228.0,1875.0
150.0,효성첨단소재,422500.0,2000.0,+0.48%,5000.0,38414.0,29347.0,3151.0
151.0,오뚜기,468500.0,4000.0,+0.86%,5000.0,31833.0,35698.0,1857.0
152.0,대한전선,1492.0,0.0,0.00%,100.0,24505.0,16203.0,482.0
153.0,HD현대일렉트릭,51500.0,1400.0,-2.65%,5000.0,21045.0,24350.0,1330.0
154.0,TIGER 미국S&P500,13800.0,165.0,-1.18%,0.0,,,
155.0,효성티앤씨,416000.0,3500.0,+0.85%,5000.0,88827.0,43199.0,1236.0
156.0,LIG넥스원,81500.0,800.0,+0.99%,5000.0,22208.0,30127.0,1791.0
157.0,CJ대한통운,77900.0,400.0,+0.52%,5000.0,121307.0,96933.0,4118.0
158.0,LX세미콘,108500.0,700.0,+0.65%,500.0,21193.0,12896.0,3106.0
159.0,GS건설,20150.0,350.0,-1.71%,5000.0,122992.0,169466.0,5548.0
160.0,대우건설,4095.0,50.0,-1.21%,5000.0,104192.0,111404.0,7600.0
161.0,덴티움,151300.0,4500.0,-2.89%,500.0,3559.0,6746.0,1257.0
162.0,JB금융지주,8260.0,100.0,-1.20%,5000.0,31171.0,598282.0,8258.0
163.0,TIGER 미국테크TOP10 INDXX,11300.0,95.0,-0.83%,0.0,,,
164.0,롯데정밀화학,61100.0,800.0,-1.29%,5000.0,24638.0,27098.0,4043.0
165.0,한전KPS,35000.0,500.0,-1.41%,200.0,14291.0,15620.0,1306.0
166.0,하이트진로,22400.0,100.0,-0.44%,5000.0,24976.0,33334.0,1906.0
167.0,현대위아,56900.0,800.0,-1.39%,5000.0,82076.0,75465.0,2121.0
168.0,KODEX 23-12 은행채(AA+이상)액티브,10280.0,5.0,-0.05%,0.0,,,
169.0,TIGER 미국필라델피아반도체나스닥,10670.0,110.0,-1.02%,0.0,,,
170.0,두산,91100.0,3200.0,-3.39%,5000.0,169958.0,263154.0,11260.0
171.0,녹십자,122000.0,2300.0,-1.85%,5000.0,17113.0,25255.0,813.0
172.0,솔루스첨단소재,40100.0,800.0,-1.96%,100.0,4612.0,14610.0,-452.0
173.0,효성,66400.0,1100.0,-1.63%,5000.0,37193.0,52673.0,649.0
174.0,롯데칠성,150700.0,1800.0,-1.18%,500.0,28417.0,36959.0,2229.0
175.0,에스엘,29900.0,1300.0,-4.17%,500.0,41745.0,29316.0,1979.0
176.0,현대엘리베이,33700.0,100.0,+0.30%,5000.0,21293.0,30145.0,430.0
177.0,HD현대건설기계,68800.0,1200.0,+1.78%,5000.0,35156.0,34486.0,1706.0
178.0,DL이앤씨,35000.0,200.0,-0.57%,5000.0,74968.0,89747.0,4970.0
179.0,솔루엠,26650.0,1050.0,+4.10%,500.0,16945.0,10343.0,756.0
180.0,금호타이어,4630.0,125.0,-2.63%,5000.0,35592.0,46950.0,231.0
181.0,TIGER MSCI Korea TR,13900.0,110.0,-0.79%,0.0,,,
182.0,후성,13780.0,0.0,0.00%,500.0,6106.0,9338.0,1054.0
183.0,대웅제약,109900.0,2500.0,+2.33%,2500.0,12801.0,15633.0,958.0
184.0,TIGER 2차전지테마,29640.0,990.0,-3.23%,0.0,,,
185.0,KODEX 단기채권PLUS,106505.0,35.0,+0.03%,0.0,,,
186.0,SK케미칼,72000.0,200.0,-0.28%,5000.0,18292.0,39457.0,2305.0
187.0,동원시스템즈,42400.0,1000.0,-2.30%,5000.0,14370.0,14517.0,918.0
188.0,현대백화점,52400.0,600.0,-1.13%,5000.0,50141.0,120692.0,3209.0
189.0,풍산,43750.0,1400.0,-3.10%,5000.0,43730.0,33953.0,2316.0
190.0,KODEX 삼성그룹,9005.0,95.0,-1.04%,0.0,,,
191.0,한국앤컴퍼니,12720.0,50.0,-0.39%,500.0,10959.0,43018.0,2452.0
192.0,KBSTAR 종합채권(A-이상)액티브,98020.0,200.0,+0.20%,0.0,,,
193.0,KBSTAR 200,32910.0,280.0,-0.84%,0.0,,,
194.0,코오롱인더,43050.0,950.0,-2.16%,5000.0,53675.0,60035.0,2425.0
195.0,SK가스,128200.0,4400.0,+3.55%,5000.0,80662.0,58318.0,3905.0
196.0,LX인터내셔널,30350.0,150.0,+0.50%,5000.0,187595.0,77190.0,9655.0
197.0,GKL,18950.0,210.0,-1.10%,500.0,2621.0,6095.0,-139.0
198.0,DGB금융지주,6880.0,30.0,-0.43%,5000.0,72746.0,910107.0,6072.0
199.0,이수화학,41500.0,0.0,0.00%,5000.0,22076.0,11881.0,360.0
200.0,아이에스동서,37000.0,800.0,-2.12%,500.0,22784.0,37378.0,3451.0
201.0,동국제강,11890.0,150.0,-1.25%,5000.0,85111.0,64512.0,7435.0
202.0,대덕전자,22750.0,750.0,+3.41%,500.0,13162.0,11918.0,2325.0
203.0,KODEX 2차전지산업,28090.0,875.0,-3.02%,0.0,,,
204.0,일진하이솔루스,30800.0,700.0,-2.22%,500.0,1091.0,3425.0,28.0
205.0,KODEX Top5PlusTR,16315.0,135.0,-0.82%,0.0,,,
206.0,SK네트웍스,4685.0,50.0,-1.06%,2500.0,96664.0,94993.0,1542.0
207.0,제주항공,14010.0,120.0,-0.85%,1000.0,7025.0,16636.0,-1775.0
208.0,한올바이오파마,20550.0,250.0,+1.23%,500.0,1100.0,2135.0,15.0
209.0,삼아알미늄,72800.0,1100.0,-1.49%,500.0,3121.0,2882.0,226.0
210.0,코리안리,7560.0,0.0,0.00%,500.0,125791.0,149781.0,1925.0
211.0,종근당,84600.0,2100.0,-2.42%,2500.0,14883.0,11249.0,1099.0
212.0,오리온홀딩스,16820.0,60.0,+0.36%,500.0,29346.0,51022.0,3998.0
213.0,한샘,44650.0,1000.0,-2.19%,1000.0,20009.0,10997.0,-217.0
214.0,영풍,569000.0,3000.0,-0.52%,5000.0,44295.0,58719.0,689.0
215.0,DL,49700.0,1000.0,-1.97%,5000.0,51708.0,121510.0,2807.0
216.0,TIGER TOP10,10780.0,140.0,-1.28%,0.0,,,
217.0,SK오션플랜트,19080.0,420.0,-2.15%,500.0,6918.0,12200.0,719.0
218.0,TIGER 단기통안채,103295.0,30.0,+0.03%,0.0,,,
219.0,롯데웰푸드,106200.0,1100.0,-1.03%,500.0,32033.0,41053.0,1124.0
220.0,KG스틸,9790.0,400.0,-3.93%,5000.0,38197.0,30515.0,3404.0
221.0,SK리츠,4965.0,10.0,+0.20%,500.0,290.0,31274.0,213.0
222.0,NHN,27900.0,350.0,+1.27%,500.0,21149.0,30252.0,391.0
223.0,TCC스틸,37000.0,2500.0,-6.33%,1000.0,6844.0,5075.0,440.0
224.0,아시아나항공,12960.0,110.0,-0.84%,5000.0,62067.0,134553.0,5988.0
225.0,율촌화학,38800.0,500.0,-1.27%,500.0,5089.0,6531.0,-46.0
226.0,롯데렌탈,26250.0,100.0,+0.38%,5000.0,27389.0,69272.0,3084.0
227.0,PI첨단소재,32650.0,350.0,-1.06%,500.0,2764.0,4990.0,521.0
228.0,TKG휴켐스,23250.0,350.0,+1.53%,1000.0,12358.0,9414.0,1171.0
229.0,신풍제약,17830.0,340.0,-1.87%,500.0,2093.0,3615.0,-340.0
230.0,명신산업,17820.0,390.0,-2.14%,500.0,15152.0,9293.0,1269.0
231.0,삼양식품,124100.0,3700.0,+3.07%,5000.0,9090.0,9249.0,904.0
232.0,더존비즈온,30650.0,50.0,+0.16%,500.0,3043.0,8329.0,455.0
233.0,대한유화,141200.0,6000.0,-4.08%,5000.0,22221.0,21958.0,-2146.0
234.0,영원무역홀딩스,66700.0,1000.0,+1.52%,500.0,45339.0,54902.0,10022.0
235.0,한국콜마,39700.0,800.0,-1.98%,500.0,18657.0,29333.0,733.0
236.0,애경케미칼,18370.0,1320.0,-6.70%,500.0,21764.0,12341.0,951.0
237.0,KODEX 코스닥150선물인버스,4165.0,115.0,+2.84%,0.0,,,
238.0,롯데리츠,3640.0,15.0,+0.41%,500.0,579.0,23639.0,341.0
239.0,하나투어,54700.0,1400.0,-2.50%,500.0,1150.0,4554.0,-1012.0
240.0,더블유게임즈,47950.0,1950.0,+4.24%,500.0,6173.0,12356.0,1839.0
241.0,한일시멘트,12460.0,40.0,-0.32%,500.0,14876.0,24608.0,1180.0
242.0,대웅,14820.0,230.0,-1.53%,500.0,16973.0,21589.0,2073.0
243.0,제이알글로벌리츠,4335.0,35.0,-0.80%,1000.0,549.0,20271.0,269.0
244.0,F&F홀딩스,21700.0,300.0,-1.36%,500.0,18168.0,35951.0,4862.0
245.0,코스맥스,74700.0,2400.0,-3.11%,500.0,16001.0,13965.0,531.0
246.0,세아베스틸지주,23600.0,850.0,+3.74%,5000.0,43863.0,38184.0,1279.0
247.0,다우기술,18810.0,190.0,-1.00%,500.0,92106.0,492600.0,7187.0
248.0,LG전자우,49000.0,150.0,-0.31%,5000.0,,,
249.0,넥센타이어,8610.0,10.0,-0.12%,500.0,25974.0,39443.0,-543.0
250.0,롯데관광개발,11290.0,40.0,+0.36%,500.0,1837.0,18028.0,-1187.0
251.0,진에어,15900.0,30.0,-0.19%,1000.0,5934.0,7719.0,-673.0
252.0,KODEX 단기채권,105880.0,35.0,+0.03%,0.0,,,
253.0,미원상사,167600.0,100.0,+0.06%,500.0,4382.0,4156.0,770.0
254.0,ESR켄달스퀘어리츠,3800.0,25.0,-0.65%,1000.0,490.0,22539.0,225.0
255.0,이노션,40350.0,350.0,+0.88%,500.0,17504.0,22901.0,1369.0
256.0,해성디에스,47300.0,900.0,+1.94%,5000.0,8394.0,6596.0,2044.0
257.0,KODEX 코스닥150레버리지,10365.0,615.0,-5.60%,0.0,,,
258.0,KODEX 인버스,4675.0,40.0,+0.86%,0.0,,,
259.0,HDC현대산업개발,12050.0,10.0,+0.08%,5000.0,32983.0,73363.0,1164.0
260.0,태광산업,697000.0,3000.0,-0.43%,5000.0,27039.0,49100.0,-1221.0
261.0,세방전지,55100.0,600.0,+1.10%,500.0,14731.0,16770.0,811.0
262.0,DN오토모티브,76200.0,600.0,-0.78%,500.0,31564.0,45916.0,4215.0
263.0,삼성 인버스 2X 천연가스 선물 ETN C,75485.0,5455.0,+7.79%,0.0,,,
264.0,효성중공업,80500.0,1200.0,-1.47%,5000.0,35101.0,46935.0,1432.0
265.0,KCC글라스,47000.0,250.0,+0.53%,1000.0,14437.0,22096.0,1192.0
266.0,TIGER 200 IT,29970.0,240.0,-0.79%,0.0,,,
267.0,녹십자홀딩스,15630.0,280.0,-1.76%,500.0,20796.0,35921.0,712.0
268.0,CJ CGV,15050.0,200.0,-1.31%,500.0,12813.0,36015.0,-768.0
269.0,케이카,14800.0,0.0,0.00%,500.0,21773.0,5344.0,500.0
270.0,SNT모티브,48300.0,400.0,+0.84%,5000.0,10449.0,12255.0,1119.0
271.0,이엔플러스,11650.0,530.0,-4.35%,500.0,269.0,1203.0,-132.0
272.0,자화전자,32450.0,650.0,+2.04%,500.0,2923.0,5058.0,-117.0
273.0,미원에스씨,137000.0,600.0,-0.44%,500.0,6116.0,4757.0,809.0
274.0,신세계인터내셔날,19380.0,300.0,-1.52%,1000.0,15539.0,12787.0,1153.0
275.0,KODEX 자동차,18430.0,205.0,-1.10%,0.0,,,
276.0,한세실업,16980.0,420.0,-2.41%,500.0,22048.0,12392.0,1796.0
277.0,대신증권,13260.0,140.0,-1.04%,5000.0,42313.0,212107.0,2535.0
278.0,대상,19380.0,120.0,-0.62%,1000.0,40841.0,31902.0,1400.0
279.0,SBS,36500.0,150.0,+0.41%,5000.0,11738.0,14079.0,1856.0
280.0,우리종금,760.0,5.0,-0.65%,500.0,4066.0,56572.0,1230.0
281.0,LX홀딩스,8570.0,30.0,+0.35%,1000.0,2369.0,16350.0,1589.0
282.0,SPC삼립,75300.0,1900.0,+2.59%,5000.0,33145.0,12954.0,895.0
283.0,드림텍,9620.0,60.0,+0.63%,100.0,13686.0,8254.0,967.0
284.0,ACE 종합채권(AA-이상)KIS액티브,96500.0,220.0,+0.23%,0.0,,,
285.0,대한해운,2005.0,20.0,-0.99%,500.0,16120.0,44903.0,2677.0
286.0,제주은행,19900.0,900.0,-4.33%,5000.0,2756.0,73203.0,270.0
287.0,한국단자,61000.0,300.0,-0.49%,500.0,11681.0,12898.0,643.0
288.0,KODEX MSCI Korea TR,11075.0,100.0,-0.89%,0.0,,,
289.0,동양생명,3910.0,5.0,+0.13%,5000.0,102796.0,374202.0,1299.0
290.0,동원F&B,32600.0,1800.0,+5.84%,1000.0,40236.0,20717.0,1287.0
291.0,바이오노트,6140.0,40.0,-0.65%,500.0,4797.0,17570.0,2954.0
292.0,TIGER KOFR금리액티브(합성),101455.0,10.0,+0.01%,0.0,,,
293.0,삼양홀딩스,72600.0,600.0,-0.82%,5000.0,33168.0,45478.0,1323.0
294.0,이수페타시스,9830.0,300.0,+3.15%,1000.0,6429.0,5460.0,1166.0
295.0,SK디스커버리,32600.0,200.0,+0.62%,5000.0,87171.0,117801.0,3622.0
296.0,경동나비엔,42550.0,400.0,-0.93%,1000.0,11609.0,10180.0,598.0
297.0,한섬,25100.0,300.0,-1.18%,500.0,15422.0,16847.0,1683.0
298.0,세아제강지주,149100.0,1800.0,-1.19%,5000.0,39538.0,35721.0,5672.0
299.0,티웨이항공,3125.0,35.0,-1.11%,500.0,5258.0,10425.0,-1039.0
300.0,ARIRANG 200,33175.0,280.0,-0.84%,0.0,,,
301.0,쏘카,17930.0,20.0,-0.11%,100.0,3976.0,5857.0,95.0
302.0,보령,8500.0,0.0,0.00%,500.0,7605.0,8924.0,566.0
303.0,애경산업,22000.0,300.0,-1.35%,1000.0,6104.0,4826.0,390.0
304.0,한화투자증권,2700.0,70.0,-2.53%,5000.0,21143.0,121112.0,344.0
305.0,현대홈쇼핑,48050.0,1000.0,-2.04%,5000.0,21017.0,27820.0,1106.0
306.0,삼천리,142000.0,700.0,+0.50%,5000.0,57891.0,50220.0,912.0
307.0,ACE 미국S&P500,13945.0,165.0,-1.17%,0.0,,,
308.0,KBSTAR 단기통안채,107700.0,65.0,+0.06%,0.0,,,
309.0,KBSTAR 23-11 회사채(AA-이상)액티브,51520.0,20.0,+0.04%,0.0,,,
310.0,엠씨넥스,31350.0,450.0,+1.46%,500.0,11086.0,5389.0,107.0
311.0,쿠쿠홈시스,25100.0,150.0,-0.59%,100.0,9381.0,10170.0,1199.0
312.0,HSD엔진,7860.0,40.0,-0.51%,1000.0,7642.0,9562.0,-295.0
313.0,부광약품,7890.0,100.0,-1.25%,500.0,1909.0,4009.0,-2.0
